hh,WDIR,WSPD,GST,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,WVHT
17,40,3,3.9,4.55,3.53,38,1020.5,19.3,22.8,13.6,0.42
18,23,2.5,3.6,4.35,3.49,31,1020.3,19.6,23,13.4,0.38
19,3,2,2.8,4.35,3.46,32,1019.9,19.9,23.2,13.1,0.33
20,327,2.3,3.2,4.17,3.49,31,1019.5,20.4,23.2,12.6,0.3
21,340,1.5,1.9,4.17,3.61,43,1018.8,20.9,23.3,12.3,0.28
22,7,2.9,3.5,4.76,3.9,37,1018.3,21.3,23.2,12.9,0.27
23,28,4.6,5.2,4.35,3.88,34,1017.7,21.6,23,13.9,0.26
4,71,2.6,3.3,2.94,3.22,58,1017.5,21.6,22.5,16,0.26
5,87,2.5,3.3,3.23,3.29,32,1017.5,21.6,22.4,15.8,0.29
6,102,2.2,2.7,3.33,3.41,16,1017.5,21.5,22.5,15.6,0.28
7,115,1.9,2.4,3.7,3.39,17,1017.3,21.5,22.4,15.7,0.28
8,109,3.2,3.8,3.57,3.27,23,1016.9,21.5,22.4,15.2,0.26
11,92,4.7,5.6,2.94,2.83,97,1016.7,21.8,22.4,15.1,0.31
12,93,2.7,3.5,2.94,2.91,90,1016.9,21.1,22.5,15.4,0.31
13,93,3.4,4.4,3.03,2.96,100,1016.3,21.1,22.6,16.7,0.29
14,139,4,4.7,3.23,2.83,85,1015.9,21.6,22.7,17.2,0.27
16,138,5.3,6.6,2.74,2.64,103,1015,22.2,22.8,17.8,0.29
17,147,5,5.7,2.94,2.69,128,1014.8,22.7,22.9,17.8,0.32
18,123,4.3,5.1,2.86,2.7,146,1014.1,23.1,23,19,0.29
2,133,6.7,7.8,2.86,2.75,146,1009.8,24.4,22.8,19.5,0.31
3,128,7.8,9.2,3.13,2.95,149,1009.2,24.2,22.8,19.5,0.41
4,131,9.7,11.8,3.45,3.4,132,1008.6,24.2,22.7,19.1,0.72
5,135,10.8,12.8,4.35,3.82,144,1007.9,24,22.6,18.4,0.97
6,128,10.6,12.7,4.76,4.33,139,1006.9,23.8,22.6,18.6,1.37
7,134,11.3,13.4,5.26,4.38,145,1006.1,23.9,22.6,18.4,1.35
8,139,11.7,15.4,4.76,4.49,143,1005.4,23.8,22.6,18.1,1.61
9,148,10.7,12.7,5.26,4.61,148,1005.1,23.6,22.6,18.4,1.77
10,153,9.3,11.2,5.26,4.52,151,1005.1,23.3,22.5,19.9,1.63
11,153,9.6,11.6,5.56,4.38,156,1005,23.2,22.5,19.7,1.43
12,159,9.1,11.4,5,4.31,150,1004.6,23.3,22.4,19.8,1.43
13,158,10.5,12.9,5.56,4.28,152,1004.6,23,22.4,19.4,1.39
14,155,10.7,13.1,5.56,4.28,154,1004.7,22.8,22.4,19,1.42
15,153,9.1,10.9,5.26,4.16,157,1004.3,22.9,22.4,19.5,1.36
16,139,8.7,10.2,5,4.21,164,1004,23.1,22.4,19.7,1.26
17,149,4.8,6.8,5,4.04,165,1003.6,23.1,22.4,20,1.02
18,237,4,5.3,5,4,148,1003.1,20.5,22.4,19.1,0.84
19,171,1.4,2,5,3.76,144,1003.1,21.2,22.5,19.3,0.62
20,173,5.9,6.8,4.76,3.7,158,1002.9,21.9,22.7,19.7,0.5
21,181,4.8,5.7,4.55,3.43,155,1002.8,22.3,22.7,19.7,0.44
22,187,4.1,5.1,4.35,3.27,151,1003,22.1,22.7,20.1,0.42
23,239,2,2.9,4,3.22,143,1003.1,21.6,22.7,20,0.39
0,238,2.7,3.6,3.7,3.36,140,1002.9,21.7,22.7,19.9,0.41
1,193,0.5,0.9,3.85,3.42,149,1003.1,21.7,22.7,19.8,0.4
2,123,1.9,2.4,4.17,3.49,177,1003.2,21.8,22.7,19.9,0.4
3,90,2.5,3,4,3.33,197,1003,21.9,22.7,19.8,0.36
4,94,3.8,4.3,3.85,3.26,211,1002.9,21.8,22.7,20.4,0.34
5,100,2.8,3.2,3.7,3.13,198,1003,21.7,22.6,20.1,0.33
6,47,6.1,7,3.45,3.02,227,1002.9,21.3,22.6,19.8,0.37
7,42,5.7,6.5,2.86,2.84,109,1003,21.3,22.6,19.6,0.35
8,32,5.6,6.4,2.94,2.84,72,1002.9,21.3,22.5,19.2,0.33
9,22,4.6,5.7,2.94,2.93,80,1003.4,21.4,22.5,20.1,0.29
10,51,7.6,8.7,2.86,2.9,70,1003.9,21.3,22.5,20.1,0.34
11,47,7.3,8.5,3.45,3.25,66,1004.6,21.2,22.5,20,0.53
12,46,7.2,8.3,4.17,3.6,70,1005.2,21,22.5,19.7,0.71
13,33,7.5,8.7,4.35,3.65,73,1006,21.1,22.5,19.6,0.78
14,17,8.7,9.9,4,3.58,69,1006.2,20.9,22.6,19.2,0.85
15,17,7.9,9.4,4.76,3.65,53,1006.8,21.1,22.6,19.3,0.89
16,18,7.6,8.8,4.55,3.63,52,1007.1,21.3,22.6,19.2,0.91
17,22,7.2,8.1,4.17,3.7,44,1007,20.9,22.6,19.3,0.88
18,7,7.8,9.4,4.35,3.59,31,1007.3,20.6,22.6,19.3,0.78
19,358,7.8,8.9,5.56,4.31,9,1007.4,21.1,22.6,19.2,1.07
20,354,8.1,9.4,5.56,4.22,8,1007.5,21.2,22.6,19.5,1.09
21,3,6.4,7.3,5.88,4.3,11,1007.7,21.4,22.6,19.2,1.04
22,355,7.4,8.8,6.25,4.42,10,1007.9,21.4,22.6,19.5,1.04
23,2,7.7,8.8,5.88,4.35,10,1008,21.4,22.5,19.7,1.02
0,11,7.7,9.3,4.35,4.14,23,1008.2,21.6,22.5,20.3,0.93
1,24,8.4,9.9,5.56,4.32,14,1008.5,21.4,22.4,20.1,1.08
2,44,7.2,8.6,5.56,4.57,11,1009,21.5,22.4,19.8,1.28
3,27,8.5,9.7,5.88,4.63,11,1009,21.5,22.3,20,1.22
4,22,8.3,9.7,5.88,4.42,11,1009.1,21.5,22.3,20.2,1.19
5,23,8.1,9.4,5.56,4.41,22,1009.2,21.6,22.3,20.3,1.16
6,27,7.9,9.5,5.88,4.38,19,1009,21.5,22.3,19.9,1.18
7,30,7.5,8.7,6.25,4.27,28,1008.8,21.4,22.3,20,1.1
8,20,7.5,8.9,6.25,4.42,26,1008.9,21.3,22.3,20,1.17
9,25,7.5,9.3,6.25,4.41,24,1009.1,21.4,22.3,19.9,1.19
10,34,7.3,8.5,5.56,4.35,29,1009.2,21.4,22.3,20,1.08
11,38,7.7,8.9,5,4.32,27,1009.5,21.5,22.3,19.7,1.13
12,31,7.6,8.7,5.88,4.54,19,1010.1,21.5,22.2,19.8,1.13
13,31,7.3,8.3,6.67,4.76,23,1010.6,21.5,22.2,19.8,1.27
14,27,7.5,8.9,6.25,4.59,18,1011,21.4,22.2,19.7,1.14
15,22,7.9,9.1,6.25,4.67,23,1011.3,21.3,22.2,20,1.23
16,27,7.9,9.2,6.25,4.43,21,1011.1,21.6,22.2,19.6,1.17
17,8,8.5,10.2,5.26,4.37,29,1011.2,21.3,22.2,19.8,1.13
18,16,8.8,10.4,5.56,4.24,21,1011.2,21.5,22.3,19.9,1.09
19,17,8.6,9.9,5.88,4.48,29,1011.1,21.5,22.3,20.1,1.29
20,8,8.1,9.3,6.67,4.77,19,1011.4,21.8,22.3,20,1.39
21,10,8.4,9.5,6.67,4.79,15,1011.6,21.8,22.4,19.9,1.48
22,21,5,5.8,6.25,5.1,23,1012.1,22.3,22.4,20,1.67
23,11,6.1,7.2,6.67,5.11,17,1012.5,22.5,22.4,19.4,1.46
0,25,8.5,10,6.67,4.98,27,1012.7,21.8,22.3,19.4,1.38
1,9,9,10.7,6.67,4.85,21,1012.8,21.9,22.3,18.5,1.41
2,7,8.7,10.7,6.67,4.78,28,1013,22.2,22.3,18.5,1.34
3,14,9.4,11.3,6.25,4.53,34,1012.9,21.9,22.3,19.3,1.3
4,87,7.3,9.3,6.25,4.63,16,1012.7,20.7,22.2,17.8,1.34
5,46,0.6,1.2,6.25,4.81,21,1012.4,21,22.2,16.3,1.17
6,295,4.5,5.4,6.25,4.62,1,1012.2,21.1,22.2,17.6,0.99
7,350,9,10.3,5.88,4.28,36,1011.9,21,22.2,18.7,0.91
8,8,7.8,9.2,5.56,4.2,40,1011.6,20.9,22.2,18.4,1.02
9,3,7.8,9,4.35,4.14,39,1011.5,20.6,22.2,18.2,1.04
10,1,7.8,9.5,5.56,4.22,27,1011.6,20.6,22.1,18.6,1.15
11,355,7.2,8.9,5.26,4.27,35,1012.1,20.5,22.1,18.5,1.18
12,357,7.5,8.9,5.88,4.42,35,1012.3,20.8,22.1,18.8,1.18
13,346,7.4,8.9,5.88,4.46,32,1012.7,20.9,22.1,19.1,1.21
14,349,8.4,9.7,5.88,4.44,31,1012.8,20.6,22.1,18.7,1.27
15,355,8,9.4,5.56,4.34,32,1012.8,20.5,22.1,18.7,1.13
16,352,6.6,7.6,5.88,4.34,31,1012.9,20.3,22.1,18.6,1.16
17,360,7.9,9.6,5.88,4.21,28,1012.8,20.4,22.2,18.6,1.1
18,359,7.1,8.5,5,4.24,29,1012.8,20.7,22.2,18.8,1.07
19,356,6.7,7.7,5,4.17,36,1012.8,20.7,22.2,18.8,0.98
20,360,6.4,7.7,4.76,4.33,33,1013.1,20.7,22.2,18.9,1.02
21,3,6.2,7.4,5.26,4.12,36,1013.1,20.8,22.2,18.9,0.92
22,8,6.2,7.2,5.56,4.07,27,1013.1,20.9,22.2,18.3,0.9
23,351,6.4,7.9,5.56,4.11,36,1013.3,21.2,22.2,18.3,0.85
0,355,6.4,7.8,5,4.08,33,1013.2,21.1,22.2,18.3,0.85
1,349,6.6,7.4,5.56,4.07,39,1013.6,20.8,22.2,18.5,0.88
2,358,6.7,7.8,5.56,3.97,36,1013.7,20.9,22.2,19,0.85
3,355,6.2,7.4,5.56,3.96,36,1013.6,20.9,22.2,19,0.81
4,355,5,6.1,4.55,4,37,1013.7,21,22.1,19.3,0.85
5,339,4.6,5.6,5,3.98,33,1013.5,20.9,22.1,19.4,0.73
6,357,4.7,5.7,4.76,3.88,31,1013.7,20.9,22.1,19.1,0.65
7,4,4.4,6.2,5.26,3.76,29,1013.6,20.8,22.1,18.9,0.62
8,350,3.9,4.9,5,3.85,24,1013.8,20.8,22.1,19.2,0.6
9,340,4.3,5,4,3.57,21,1014.1,20.9,22.1,19.3,0.49
10,342,4.5,5.5,5,3.67,25,1014.4,20.9,22.1,19.1,0.48
11,352,4.6,5.5,4.35,3.49,22,1014.7,21,22.1,19.3,0.42
12,354,5.3,6,4.55,3.42,26,1015,21.4,22.1,18.7,0.41
13,1,4.8,5.8,4.35,3.2,25,1015.4,21.2,22.1,19.1,0.38
14,3,4.6,5.6,4.17,3.17,6,1015.7,21.2,22.2,19.2,0.38
15,6,3.7,4.5,3.13,3.16,35,1015.9,21.4,22.3,19.1,0.36
16,349,2.9,3.6,3.13,3.15,32,1016,21.4,22.5,18.8,0.38
17,339,3,3.9,3.45,3.17,40,1015.9,21.5,22.7,18.7,0.32
18,327,2.3,2.9,3.33,3.24,39,1015.6,21.6,22.9,19,0.31
19,255,1,1.5,3.57,3.19,36,1015.5,22,23.4,19.3,0.29
8,341,6,7.4,2.74,2.62,327,1014.9,22.6,22.5,18.8,0.32
9,354,5.9,7,3.03,2.92,349,1015,22.3,22.4,19.1,0.41
10,347,5.7,6.5,3.23,3.04,340,1015.2,21.9,22.4,19.6,0.45
11,341,5.5,6.2,3.57,3.15,357,1015.3,21.7,22.4,19.7,0.51
12,348,4.8,5.6,3.85,3.29,8,1015.6,21.6,22.4,19.9,0.52
13,320,5.8,6.5,3.7,3.29,351,1016.7,21.6,22.5,19.9,0.47
14,318,5.9,6.7,3.85,3.2,356,1016.6,21.8,22.5,19.8,0.45
15,316,4.1,4.9,3.57,3.14,356,1016.6,21.6,22.6,19.4,0.45
16,321,2.5,2.9,3.45,3.12,350,1016.3,21.8,22.7,19.3,0.38
17,297,3.1,3.6,3.23,3.05,334,1016.2,22.1,22.9,19.2,0.35
18,274,2.4,2.8,3.57,3.13,325,1015.8,22.6,23.1,19,0.29
19,235,2.1,2.4,3.7,3.21,324,1015.5,23,23.4,18.9,0.26
4,193,6.3,7.4,2.94,2.8,176,1011.7,23.7,22.7,19.2,0.34
5,202,6.6,7.4,3.13,2.89,172,1011.3,23.9,22.7,19.5,0.43
6,227,8.3,9.9,3.23,2.97,170,1010.7,24,22.6,19.9,0.43
7,236,8.9,10.7,3.33,3.11,178,1010.2,23.9,22.6,19.1,0.57
8,260,8.7,10.4,3.57,3.34,189,1009.7,23.4,22.5,19.3,0.69
9,275,8.4,9.7,3.85,3.41,196,1009.9,22.7,22.5,19.3,0.69
10,313,7.9,9.8,3.57,3.33,228,1010.5,22,22.5,19.3,0.65
11,307,8.7,10.3,4,3.33,231,1011.3,20.9,22.5,17.8,0.75
12,314,8.4,10,3.85,3.5,319,1011.5,20.9,22.5,17.2,0.86
13,316,7.7,9.3,4.55,3.75,336,1011.9,20.6,22.5,17.1,0.99
14,316,7.4,9,4.76,3.89,334,1012.4,20.6,22.4,16.4,1
15,295,6.5,7.5,4.55,3.82,315,1012.8,20.8,22.4,15.9,0.91
16,291,5.6,6.6,5.26,3.89,320,1012.9,21.2,22.5,16.1,0.86
17,277,5.1,5.8,5.26,4.01,317,1012.8,21.6,22.6,15.3,0.77
18,289,4.3,5.1,4.76,3.76,311,1012.6,21.9,22.7,14.7,0.63
19,297,4.7,5.5,4.35,3.58,318,1012.6,22,22.7,14.9,0.53
20,300,7.4,8.5,4.35,3.53,334,1012.3,22.4,22.8,14.2,0.56
21,291,5.7,7.1,4.35,3.34,344,1012.5,22.6,22.8,14.7,0.49
22,329,4.8,5.7,3.13,3.31,325,1012.9,22,22.7,15.2,0.5
23,320,4.9,5.9,4.17,3.35,359,1013.1,22.2,22.7,14.9,0.52
0,313,3.8,4.5,4.17,3.53,338,1013.1,22.1,22.7,15.1,0.59
1,308,5.5,7.4,4.17,3.65,332,1013.2,22.3,22.6,14.8,0.58
2,305,6.2,7.2,4,3.35,319,1013.6,22.4,22.6,15.1,0.53
3,310,7.7,9.1,4,3.28,334,1013.6,22,22.6,15.1,0.53
4,316,7.9,9.3,4,3.41,339,1013.6,21.5,22.5,14.6,0.71
5,300,7.7,8.9,4,3.48,337,1013.6,21.1,22.5,15.2,0.71
6,307,7.4,9.1,4,3.41,333,1013.3,20.7,22.4,14.7,0.73
7,307,7.9,9.2,4.35,3.41,339,1013.2,20.1,22.4,14.7,0.72
8,310,6.9,9,4.17,3.39,336,1013.4,19.6,22.4,14.9,0.78
9,313,7.2,8.4,4.35,3.57,335,1013.6,19.3,22.4,15.6,0.76
10,316,6.8,8.4,4.17,3.76,334,1013.9,19,22.4,15.8,0.86
11,311,6.4,7.7,4.55,3.8,331,1014.6,18.7,22.4,15.5,0.83
12,316,7,8.7,4.55,3.83,332,1014.9,18.8,22.4,15.2,0.83
13,312,6.7,8.5,4.55,3.73,331,1015.5,18.7,22.4,14.8,0.79
14,307,7.9,9.6,5,3.79,322,1016,18.7,22.4,15.2,0.74
15,304,6.9,8.2,4.76,3.73,326,1016.6,18.7,22.5,14.9,0.79
16,304,7,8.4,4.55,3.89,316,1016.9,18.8,22.5,14.2,0.81
17,292,6.1,7.6,4.76,3.88,319,1017.1,19,22.5,13.5,0.85
18,305,5.7,7.6,4.76,3.89,316,1017.1,19.6,22.6,13.7,0.76
19,313,6,7.3,4.35,3.67,336,1017.3,19.8,22.6,13.5,0.68
20,324,4.2,5.2,5,3.7,352,1017.3,20.2,22.6,13,0.7
21,337,2.3,3.7,5,3.69,358,1017.3,20.4,22.7,13.1,0.62
22,272,0.6,1.1,5.26,3.75,5,1017.5,20.7,22.7,13.4,0.51
23,221,1.6,2.5,4.55,3.82,319,1017.5,20.6,22.7,13.4,0.51
0,190,2.8,3.7,4.76,3.78,324,1017.6,20.7,22.6,13.9,0.47
1,212,2.9,3.7,4.76,3.96,332,1017.7,20.9,22.6,13.9,0.5
2,250,3.1,3.8,4.76,3.98,325,1018,21.2,22.6,14.3,0.47
3,232,3.7,4.4,4.76,3.83,330,1017.7,21.3,22.5,14.8,0.42
4,261,4.9,6,4.76,3.74,332,1017.7,21.6,22.5,14.7,0.36
5,288,4.8,6.2,4.17,3.4,338,1017.4,21.8,22.5,14.4,0.33
6,312,5.8,6.7,4.17,3.21,1,1017.5,21.7,22.5,14.4,0.31
7,333,5.3,6.2,3.23,2.99,7,1017.6,21.3,22.5,15.9,0.36
8,318,4.9,5.6,3.23,3.06,351,1018.1,21.3,22.4,15.3,0.38
9,343,5.9,6.9,3.45,3.1,353,1018.1,20.8,22.4,16.1,0.37
10,347,3.8,4.6,3.33,3.06,353,1018.3,20.6,22.4,15.5,0.38
11,319,3,3.8,3.23,3.15,336,1018.9,20.6,22.4,15.8,0.32
12,347,1.8,2.4,3.33,3.18,333,1019.5,20.8,22.4,16.1,0.29
13,340,2,3.1,3.33,3.13,328,1019.9,20.7,22.4,15.5,0.26
19,16,1.7,2.2,3.45,3.27,28,1019.7,21.3,23.9,14.1,0.27
20,152,1,1.6,3.57,3.3,358,1019.7,21.8,24.3,14.3,0.28
21,95,1.3,2,3.7,3.26,19,1019.5,21.9,24.5,14.2,0.27
2,32,5.3,5.9,2.47,2.5,50,1017.7,22.9,23.3,17.1,0.29
3,33,4.6,5.4,2.74,2.64,54,1017.8,22.7,23.2,17.8,0.31
4,31,4.9,5.7,2.86,2.65,57,1017.7,22.7,23.1,17.9,0.29
5,35,4.2,4.8,2.86,2.68,58,1017.8,22.6,23.1,18.1,0.28
6,41,5.1,5.8,2.94,2.81,60,1017.6,22.5,23,18.6,0.29
7,58,4.3,4.8,3.13,2.86,51,1017.5,22.3,22.9,18.7,0.3
8,36,4.7,5.2,3.23,2.94,51,1017.1,22.3,22.9,18.4,0.26
9,28,4.9,5.5,3.33,3.05,53,1016.4,22.3,23,18.2,0.3
10,38,4.8,5.4,3.45,2.9,53,1016.3,21.9,22.9,18.8,0.28
11,41,4.1,4.9,3.33,2.93,41,1017.1,22,22.9,18.9,0.26
12,53,3.3,3.9,3.13,2.92,39,1017.4,21.9,22.9,18.8,0.27
15,227,5.3,6.2,3.23,2.9,232,1014.4,22.7,23.1,17.9,0.33
16,223,5.5,6.6,3.13,2.86,217,1014.1,22.9,23.2,18.8,0.33
17,219,6,7.2,3.13,2.87,215,1013.8,23.1,23.2,18.8,0.37
18,198,5.6,6.5,3.23,2.92,200,1013.4,23.6,23.3,19,0.41
19,192,5.3,6.2,3.13,2.94,203,1013.1,23.9,23.4,19.4,0.39
20,220,6.5,9.7,2.86,2.82,190,1013.2,23.8,23.4,19.6,0.37
21,220,7.2,8.5,3.23,2.84,182,1012.9,22.7,23.3,17.3,0.47
22,211,5.6,7.4,3.23,2.93,187,1013,23.8,23.2,17.3,0.45
23,199,5.3,6.2,3.33,3.09,196,1013,23.6,23.2,17.8,0.53
0,266,2.1,2.7,3.13,3.05,204,1013.1,23.3,23.2,19,0.42
1,226,5.5,6.4,3.03,2.94,191,1013.3,22.5,23.2,19.6,0.31
3,199,4.8,6.1,2.94,2.75,190,1013.7,23.6,23.1,19.1,0.28
4,183,5.5,6.7,3.45,3.06,181,1013.4,23.5,23.1,20.2,0.41
5,204,6.7,8,3.23,3,176,1013.3,23.8,23.1,20.2,0.38
6,218,9.4,11.4,3.45,3.2,174,1012.8,24,23.1,17.8,0.61
7,203,7.4,8.4,4,3.7,173,1012.7,23.6,23,19.5,0.8
8,260,10.2,13,4,3.58,177,1012.9,23.4,23,19.4,0.74
9,200,4.6,5.6,4,3.53,175,1012.8,22.5,23,18.7,0.67
10,235,4.4,5.2,4.35,3.52,147,1014,22.9,23,19.5,0.65
11,209,2.9,3.5,4.76,3.66,139,1014,22.9,23,19.2,0.58
12,206,6.3,8.7,4.55,3.62,147,1014,23.2,23,18.7,0.6
13,193,6.6,7.8,4.35,3.51,146,1013.9,22.9,23,19.1,0.68
14,209,7.5,8.8,4.35,3.45,152,1013.8,22.8,23,18.7,0.6
15,229,4.8,5.8,4.35,3.52,146,1013.8,22.7,23,18.4,0.68
16,204,6,6.7,4.55,3.71,149,1013.9,22.1,23.1,19.2,0.64
17,223,5.9,6.7,5,3.86,145,1013.9,22.9,23.1,18.7,0.72
18,210,4,4.7,4.76,3.73,151,1014,23,23.2,19.1,0.6
19,297,2.5,3,4.35,3.6,155,1014.1,23.3,23.4,19.6,0.53
20,345,2.8,3.3,4.35,3.57,204,1013.7,23.2,23.6,19.2,0.42
21,341,4,4.7,4.35,3.61,214,1013.2,23.3,23.6,19.6,0.36
22,338,3.9,4.6,4.17,3.55,216,1014.2,23.3,23.6,19.3,0.25
4,23,4,4.8,4.35,4.16,26,1016,22.3,23.3,19.2,0.28
5,27,4.5,5.3,5,4,26,1016.2,21.7,23.2,19.4,0.28
6,48,4.4,5.1,4.76,3.26,21,1016.2,21.4,23.2,18.9,0.29
7,55,3.6,4.3,2.74,3.07,36,1016.1,21.2,23.1,18.7,0.32
8,59,3.4,4.4,5,3.31,2,1016.2,21.1,23.1,18.4,0.36
9,39,3,3.8,4.55,3.76,16,1016.4,21.1,23.1,18.3,0.52
10,33,3.1,3.9,5,3.89,28,1016.9,21.1,23.1,18.2,0.53
11,31,2.9,3.9,5,3.89,25,1017.4,21.3,23.1,18,0.49
12,45,4,4.9,4.76,3.61,22,1017.6,21.4,23.1,18.2,0.41
13,49,3.2,3.9,4.76,3.47,24,1018.1,21.3,23.1,17.7,0.37
14,61,3.1,4,4.55,3.49,27,1018.4,21.3,23.2,17.6,0.35
15,65,3.7,4.5,4.55,3.43,22,1018.5,21.3,23.3,17.9,0.31
16,76,3.8,4.6,4.17,3.29,16,1018.4,21.2,23.4,17.8,0.28
17,63,3.2,4.2,4.17,3.17,20,1018.3,21.2,23.5,18,0.27
8,156,5.9,7,2.86,2.73,123,1016.9,23.8,23.3,20,0.31
9,173,5.7,6.5,3.13,2.9,132,1017.1,23.8,23.3,20.2,0.4
10,182,5.6,6.5,3.23,2.95,138,1017.4,23.7,23.3,20.6,0.38
11,171,5.4,6.2,3.33,3.02,143,1017.5,23.7,23.3,21.1,0.39
12,178,5.2,5.9,3.33,2.98,140,1017.4,23.8,23.3,21.6,0.34
13,170,4.8,5.6,3.23,2.98,132,1017.7,23.7,23.3,21.9,0.37
14,159,4.9,5.5,3.33,3.03,149,1017.7,23.8,23.4,22.3,0.37
15,155,5.3,6.1,3.13,2.93,145,1018,23.7,23.5,22.4,0.41
16,162,5.4,6.3,3.13,2.95,148,1017.7,23.8,23.6,22.4,0.37
17,145,5.5,6.2,3.33,3.03,157,1017.2,24,23.7,22.3,0.39
18,158,5.8,6.7,3.33,2.98,153,1017.2,24.4,23.8,22.4,0.36
19,151,6,6.7,3.03,2.81,154,1016.6,25.1,23.8,22.3,0.38
20,144,5.7,6.4,3.23,2.81,165,1016.1,25.6,23.8,21.9,0.36
21,137,5.3,5.8,3.13,2.74,165,1015.7,25.9,23.9,21.7,0.29
22,149,6.3,6.9,2.86,2.66,158,1015.4,26.3,23.9,21.7,0.29
23,162,6,6.9,2.86,2.73,150,1015.4,26.3,23.8,22.1,0.33
0,182,6.2,7.1,3.03,2.83,149,1015.6,25.9,23.8,22.5,0.35
1,184,5.8,6.7,3.13,2.95,156,1016,25.9,23.8,22,0.39
2,186,7.4,8.7,3.45,3.03,157,1016.4,25.8,23.8,22.1,0.48
3,193,8.1,9.2,3.45,3.12,163,1016.5,25.8,23.7,21.9,0.52
4,202,8,9.2,4,3.45,157,1017.1,25.7,23.7,21.4,0.67
5,195,7.1,8.2,4.17,3.51,160,1017.1,25.1,23.6,21.9,0.68
6,186,6.6,7.6,4.55,3.55,151,1016.9,24.9,23.6,22.2,0.69
7,190,7.1,8.4,4.17,3.59,161,1016.8,24.8,23.5,22.1,0.66
8,190,6.7,8.3,4,3.45,161,1017,24.6,23.5,22.1,0.63
9,177,7.6,9,4.17,3.48,162,1016.4,24.5,23.5,22,0.66
10,186,7.4,8.6,3.85,3.45,164,1017,24.5,23.5,21.9,0.67
11,190,9,11.3,3.85,3.51,162,1017.4,24.4,23.4,20.9,0.72
12,183,7.2,8.2,4,3.5,161,1017.7,24.3,23.4,21.7,0.71
13,198,8.3,10,4.17,3.45,155,1017.4,24.6,23.5,21.2,0.65
14,204,9.2,10.7,4.35,3.48,153,1017.5,24.8,23.5,20.9,0.79
15,201,7.6,9,4.55,3.6,158,1017.5,24.5,23.5,21.5,0.8
16,190,8.3,9.8,4.55,3.6,159,1016.7,24.4,23.6,21.7,0.78
17,178,9.2,11.3,4.55,3.61,161,1015.2,24.6,23.6,21.5,0.81
18,190,8,9.9,4.55,3.76,156,1016.3,25.4,23.6,21.6,0.92
19,189,7.1,8.3,4.55,3.81,158,1016.4,25.6,23.7,21.8,0.88
20,191,6.3,7,4.55,3.68,161,1015.8,26,23.7,21.4,0.75
21,178,5.3,6.8,4.35,3.64,169,1015.1,26,23.8,21.6,0.62
22,192,5.9,6.7,4,3.47,167,1014.9,26.1,23.8,21.3,0.56
23,206,5.1,6,4.17,3.43,162,1015.6,25.6,23.8,21.7,0.47
0,210,5.1,5.7,3.85,3.23,154,1015.8,25.5,23.8,21.8,0.39
1,255,7.9,9.3,3.57,3.32,165,1016.9,27.5,23.8,20.8,0.54
2,251,6.6,7.4,4.17,3.46,186,1017.5,27.1,23.7,21.6,0.62
3,266,4.3,5.7,4,3.42,182,1017.4,25.4,23.7,22,0.5
4,210,2.6,3,4,3.36,181,1016.7,24.5,23.7,22.7,0.46
5,218,2.2,2.6,4,3.21,173,1016.3,25,23.7,21.6,0.35
6,231,3.9,5.1,3.7,3.11,172,1016.3,24.4,23.7,21.7,0.32
7,250,7.3,8.8,2.94,2.94,188,1017.1,24.2,23.7,21.2,0.29
8,203,5.2,6.1,3.03,2.78,189,1016.9,24.1,23.6,19.4,0.31
9,237,5.5,6.7,2.74,2.74,205,1016.4,23.7,23.6,20.4,0.3
10,307,6.9,8.4,2.74,2.73,258,1018.1,20.9,23.6,19.3,0.49
11,112,2.2,2.9,3.33,3.09,305,1017.5,21.2,23.6,19.4,0.49
12,94,0.8,2.2,3.45,3.19,297,1018.4,21.4,23.6,19.2,0.47
13,44,1.6,2.4,4,3.42,317,1018.3,21.7,23.6,19.3,0.47
14,209,0.5,1.1,3.45,3.3,274,1018.3,21.1,23.6,19.6,0.36
15,136,3.2,3.9,3.45,3.12,308,1017.8,21.4,23.6,19.3,0.26
19,344,3.4,4.2,3.7,3.47,350,1014.5,22.8,24.3,20.5,0.27
20,13,5.7,6.5,5.56,4.29,27,1013.1,22.7,24.1,21,0.54
21,20,6.9,7.6,5.26,3.85,30,1013,22.1,24,20.7,0.67
22,27,5.9,6.7,5,3.68,36,1012.7,22,23.9,20.5,0.73
23,11,4.7,5.3,4.55,3.69,33,1013.2,22.1,23.8,20.4,0.69
0,53,2.4,3.2,4.76,3.65,29,1013.4,22,23.8,20.1,0.6
1,46,3.4,4,4.76,3.56,35,1013.1,22,23.8,20.1,0.53
2,343,4.8,5.9,4,3.53,35,1013.2,22.1,23.8,19.7,0.51
3,353,4.8,5.9,3.57,3.48,32,1013.1,22,23.7,18.9,0.5
4,360,4.6,5.4,4.55,3.53,33,1013.2,21.9,23.7,18.6,0.48
5,5,5,5.9,5,3.56,36,1012.8,21.9,23.7,18.7,0.52
6,8,4.6,5.2,5.26,3.67,36,1012.5,21.9,23.7,18,0.54
7,1,3.2,3.9,5,3.86,37,1012.6,21.8,23.6,18.3,0.5
8,355,3.1,4.3,5.26,3.83,39,1012.7,21.8,23.6,18.3,0.46
9,352,3.1,4.3,5,3.86,34,1012.6,21.7,23.6,17.8,0.42
10,348,3.9,4.8,4.76,3.82,34,1013,21.7,23.6,17.5,0.4
